,date,open,high,low,close,adj close,volume,EMA_10,EMA_50
0,2014-09-17,465.864014,468.174011,452.421997,457.334015,457.334015,21056800,457.334015,457.334015
1,2014-09-18,456.859985,456.859985,413.104004,424.440002,424.440002,34483200,454.2012518571429,456.68264840594065
2,2014-09-19,424.102997,427.834991,384.532013,394.79599,394.79599,37919700,448.54360787074836,455.4571700216646
3,2014-09-20,394.673004,423.29599,389.882996,408.903992,408.903992,36863600,444.7684063592485,454.5353249123247
4,2014-09-21,408.084991,412.425995,393.181,398.821014,398.821014,26580100,440.39246422979625,453.4320712308925
5,2014-09-22,399.100006,406.915985,397.130005,402.152008,402.152008,24127600,436.7505160174347,452.41662443424116
6,2014-09-23,402.09201,441.557007,396.196991,435.790985,435.790985,45099500,436.6591321110123,452.0874038513849
7,2014-09-24,435.751007,436.112,421.131989,423.204987,423.204987,30627700,435.37778495758255,451.5154748048228
8,2014-09-25,423.156006,423.519989,409.467987,411.574005,411.574005,26814400,433.11075829495564,450.7245546106679
9,2014-09-26,411.428986,414.937988,400.009003,404.424988,404.424988,21460800,430.37878017162654,449.8077315094665
10,2014-09-27,403.556,406.622986,397.372009,399.519989,399.519989,15029300,427.4398476790907,448.8119346280909
11,2014-09-28,399.471008,401.016998,374.332001,377.181,377.181,23613300,422.65329075727254,447.3935002790198
12,2014-09-29,376.928009,385.210999,372.23999,375.46701,375.46701,32497700,418.15935925657993,445.96921334280154
13,2014-09-30,376.088013,390.97699,373.442993,386.944,386.944,34707300,415.1864678988104,444.80039723700344
14,2014-10-01,387.427002,391.378998,380.779999,383.61499,383.61499,26229400,412.1796604798761,443.58880501448846
15,2014-10-02,383.988007,385.497009,372.946014,375.071991,375.071991,21777700,408.64559671988786,442.23203642014215
16,2014-10-03,375.181,377.695007,357.859009,359.511993,359.511993,30901200,403.9662058894223,440.59401575835716
17,2014-10-04,359.891998,364.487,325.885986,328.865997,328.865997,47236500,396.81380504281066,438.3815797433402
18,2014-10-05,328.915985,341.800995,289.29599,320.51001,320.51001,83308096,389.54677694349533,436.04748925337304
19,2014-10-06,320.389008,345.134003,302.559998,330.07901,330.07901,79011800,383.88318009173383,433.9491035255835
20,2014-10-07,330.584015,339.247009,320.481995,336.187012,336.187012,49199900,379.3406878925211,432.01322052507686
21,2014-10-08,336.115997,354.364014,327.187988,352.940002,352.940002,54736300,376.8263368551381,430.44741421764957
22,2014-10-09,352.747986,382.726013,347.687012,365.026001,365.026001,83641104,375.70249534512493,429.15194068858716
23,2014-10-10,364.687012,375.066986,352.963013,361.562012,361.562012,43665700,374.3557826455892,427.81352625911023
24,2014-10-11,361.362,367.19101,355.950989,362.299011,362.299011,13345200,373.2075186793427,426.51620912526647
